oblast,raion,hromada,level,started_at,finished_at,source,duration_min
Kyiv City,,,oblast,2022-05-23 13:27:33+00:00,2022-05-23 15:17:11+00:00,official,109.63333333333334
Kyiv City,,,oblast,2022-05-23 17:23:13+00:00,2022-05-23 17:46:01+00:00,official,22.8
Kyiv City,,,oblast,2022-05-23 20:51:15+00:00,2022-05-23 21:17:01+00:00,official,25.766666666666666
Kyiv City,,,oblast,2022-05-24 10:02:34+00:00,2022-05-24 12:19:18+00:00,official,136.73333333333332
Kyiv City,,,oblast,2022-05-25 00:32:41+00:00,2022-05-25 00:46:54+00:00,official,14.216666666666667
Kyiv City,,,oblast,2022-05-25 01:36:49+00:00,2022-05-25 03:31:44+00:00,official,114.91666666666667
Kyiv City,,,oblast,2022-05-25 16:33:10+00:00,2022-05-25 18:49:48+00:00,official,136.63333333333333
Kyiv City,,,oblast,2022-05-26 15:47:13+00:00,2022-05-26 16:09:46+00:00,official,22.55
Kyiv City,,,oblast,2022-05-26 17:02:19+00:00,2022-05-26 19:07:34+00:00,official,125.25
Kyiv City,,,oblast,2022-05-27 00:19:32+00:00,2022-05-27 00:49:02+00:00,official,29.5
Kyiv City,,,oblast,2022-05-27 08:35:42+00:00,2022-05-27 08:44:10+00:00,official,8.466666666666667
Kyiv City,,,oblast,2022-05-27 17:47:13+00:00,2022-05-27 18:31:32+00:00,official,44.31666666666667
Kyiv City,,,oblast,2022-05-27 18:40:04+00:00,2022-05-27 19:20:14+00:00,official,40.166666666666664
Kyiv City,,,oblast,2022-05-27 21:02:24+00:00,2022-05-27 21:40:01+00:00,official,37.61666666666667
Kyiv City,,,oblast,2022-05-28 07:29:45+00:00,2022-05-28 07:47:55+00:00,official,18.166666666666668
Kyiv City,,,oblast,2022-05-28 17:21:02+00:00,2022-05-28 18:18:26+00:00,official,57.4
Kyiv City,,,oblast,2022-05-29 02:05:45+00:00,2022-05-29 02:41:39+00:00,official,35.9
Kyiv City,,,oblast,2022-05-29 09:51:27+00:00,2022-05-29 10:22:40+00:00,official,31.216666666666665
